icd_code,icd_version,long_title,cancer_type
C9430,10,Mast cell leukemia not having achieved remission,Other leukemias of specified cell types
C946,10,"Myelodysplastic disease, not classified",Other leukemias of specified cell types
C02,10,Malignant neoplasm of other and unspecified parts of tongue,Head and Neck Cancer
C111,10,Malignant neoplasm of posterior wall of nasopharynx,Malignant neoplasm of nasopharynx
C119,10,"Malignant neoplasm of nasopharynx, unspecified",Malignant neoplasm of nasopharynx
C24,10,Malignant neoplasm of other and unspecified parts of biliary tract,Malignant neoplasm of other and unspecified parts of biliary tract
C254,10,Malignant neoplasm of endocrine pancreas,Malignant neoplasm of pancreas
C409,10,Malignant neoplasm of unspecified bones and articular cartilage of limb,Malignant neoplasm of bone and articular cartilage of limbs
C4452,10,Squamous cell carcinoma of skin of trunk,Other malignant neoplasms of skin
C44611,10,"Basal cell carcinoma of skin of unspecified upper limb, including shoulder",Other malignant neoplasms of skin
C457,10,Mesothelioma of other sites,Mesothelioma
C469,10,"Kaposi's sarcoma, unspecified",Kaposi's sarcoma
C480,10,Malignant neoplasm of retroperitoneum,Malignant neoplasm of retroperitoneum and peritoneum
C491,10,"Malignant neoplasm of connective and soft tissue of upper limb, including shoulder",Malignant neoplasm of other connective tissues
C4A,10,Merkel cell carcinoma,Merkel cell carcinoma
C50022,10,"Malignant neoplasm of nipple and areola, left male breast",Breast Cancer
C5022,10,"Malignant neoplasm of upper-inner quadrant of breast, male",Breast Cancer
C531,10,Malignant neoplasm of exocervix,Malignant neoplasm of cervix uteri
C55,10,"Malignant neoplasm of uterus, part unspecified","Malignant neoplasm of uterus, part unspecified"
C637,10,Malignant neoplasm of other specified male genital organs,Malignant neoplasm of other male genital organs
C724,10,Malignant neoplasm of acoustic nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C797,10,Secondary malignant neoplasm of adrenal gland,Secondary malignant neoplasm of other sites
C8446,10,"Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes",Mature T/NK-cell lymphomas
C8586,10,"Other specified types of non-Hodgkin lymphoma, intrapelvic lymph nodes",Other specified and unspecified types of non-Hodgkin lymphoma
C88,10,Malignant immunoproliferative diseases and certain other B-cell lymphomas,Malignant immunoproliferative diseases
C92Z0,10,Other myeloid leukemia not having achieved remission,Leukemia
C962,10,Malignant mast cell neoplasm,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C005,10,"Malignant neoplasm of lip, unspecified, inner aspect",Head and Neck Cancer
C148,10,"Malignant neoplasm of overlapping sites of lip, oral cavity and pharynx",Malignant neoplasm of other ill-defined sites
C210,10,"Malignant neoplasm of anus, unspecified",Malignant neoplasm of anus and anal canal
C227,10,Other specified carcinomas of liver,Malignant neoplasm of liver and intrahepatic bile ducts
